area_nm,visit_dt,visitor_sum,tourist_type
대구,2022-10-20,415,외국인
대구,2022-11-24,335,외국인
대구,2023-02-16,278,외국인
대구,2023-03-06,354,외국인
대구,2023-04-02,1513,외국인
대구,2023-04-14,2372102,내국인
대구,2023-04-17,2225567,내국인
대구,2023-03-28,480,외국인
대구,2023-03-29,557,외국인
대구,2021-09-14,337,외국인
대구,2021-09-23,2249213,내국인
대구,2022-03-04,2193402,내국인
대구,2022-03-08,2180794,내국인
대구,2022-03-16,298,외국인
대구,2022-03-31,243,외국인
대구,2022-04-22,543,외국인
대구,2022-05-18,2156441,내국인
대구,2022-05-31,665,외국인
대구,2023-02-07,276,외국인
대구,2023-02-22,279,외국인
대구,2023-03-26,369,외국인
대구,2020-10-27,310,외국인
대구,2021-03-23,2176982,내국인
대구,2021-03-30,435,외국인
대구,2021-05-15,2300585,내국인
대구,2021-07-03,2223878,내국인
대구,2021-10-02,262,외국인
대구,2021-10-14,309,외국인
대구,2022-03-07,328,외국인
대구,2022-03-10,2118624,내국인
대구,2022-11-12,292,외국인
대구,2022-11-15,351,외국인
대구,2023-01-20,2522901,내국인
대구,2023-02-23,2371237,내국인
대구,2023-03-03,472,외국인
대구,2023-04-21,2394366,내국인
대구,2023-01-05,316,외국인
대구,2023-02-13,2214767,내국인
대구,2023-03-21,2423645,내국인
대구,2023-04-16,2337872,내국인
대구,2022-01-18,2070421,내국인
대구,2022-02-01,184,외국인
대구,2022-04-08,2228699,내국인
대구,2022-07-26,2437021,내국인
대구,2022-08-04,985,외국인
대구,2022-11-03,2270128,내국인
대구,2023-03-12,364,외국인
대구,2021-10-17,2109832,내국인
대구,2021-11-04,2637,외국인
대구,2021-11-14,2182893,내국인
대구,2021-11-23,588,외국인
대구,2021-12-15,2123455,내국인
대구,2022-01-05,1971846,내국인
대구,2022-01-08,2195404,내국인
대구,2022-02-19,272,외국인
대구,2022-05-03,2092284,내국인
대구,2022-05-27,1525,외국인
대구,2022-11-27,274,외국인
대구,2023-01-21,348,외국인
대구,2022-11-22,285,외국인
대구,2022-12-26,2257981,내국인
대구,2023-01-14,259,외국인
대구,2023-01-19,2336317,내국인
대구,2023-01-31,259,외국인
대구,2023-02-12,2253293,내국인
대구,2023-04-03,1964,외국인
대구,2023-04-20,2290931,내국인
대구,2021-05-09,2173927,내국인
대구,2021-08-10,275,외국인
대구,2021-08-13,286,외국인
대구,2021-09-05,2030025,내국인
대구,2021-12-19,2030248,내국인
대구,2022-06-15,2104191,내국인
대구,2022-09-12,2358893,내국인
대구,2022-11-16,362,외국인
대구,2022-12-09,447,외국인
대구,2020-09-20,2099017,내국인
대구,2020-10-02,2159963,내국인
대구,2021-02-07,189,외국인
대구,2021-05-23,167,외국인
대구,2021-08-23,299,외국인
대구,2021-09-12,343,외국인
대구,2021-09-17,365,외국인
대구,2021-11-05,2704,외국인
대구,2022-01-11,2007266,내국인
